key,en,pl
wanst_alva_doorinitiative_perfect_1_1,I have free potions! #1.70 Want any?,Mam darmowe mikstury! #1.70 Chcesz jakąś?
wanst_alva_doorinitiative_perfect_1_2,Fancy a taste of my magic brew? #2.70 It's on the house!,Masz ochotę na łyk mojego magicznego wywaru? #2.70 Stawiam ja!
wanst_alva_doorinitiative_perfect_2_1,Seeking a sip of sorcery? #1.80 I've got just the thing.,"Szukasz łyczka czarów? #1.80 Mam właśnie to, czego trzeba."
wanst_alva_doorinitiative_high_1_1,Do you need some potion help? #2.00 I have a few with me.,Potrzebujesz pomocy w postaci mikstury? #2.00 Mam kilka przy sobie.
wanst_alva_doorinitiative_high_2_1,I have some potions that might #1.90 help you on this adventure!,"Mam kilka mikstur, które mogą ci pomóc #1.90 w tej wyprawie!"
wanst_alva_doorinitiative_high_3_1,If you need a potion... #1.20 Just ask!,Jeśli potrzebujesz mikstury... #1.20 wystarczy zapytać!
wanst_alva_doorinitiative_high_4_1,My potions might help us get through here faster.,Moje mikstury mogą pomóc nam szybciej się stąd wydostać.
wanst_alva_doorinitiative_positive_1_1,"Sure, right into these veins!","Jasne, prosto w żyły!"
wanst_alva_doorinitiative_positive_2_1,I shan't say no to a drink!,Nie odmówię drinka!
wanst_alva_doorinitiative_positive_3_1,Good idea! #1.00 Pump me up!,Dobry pomysł! #1.00 Naładuj mnie!
wanst_alva_doorinitiative_positive_4_1,"Okay, witch!","Okej, czarownico!"
wanst_alva_doorinitiative_negative_1_1,"Thanks, but keep your potions for later.","Dzięki, ale zachowaj swoje mikstury na później."
wanst_alva_doorinitiative_negative_2_1,No need for tricks. #1.30 My power comes from within.,Nie trzeba sztuczek. #1.30 Moja moc płynie z wnętrza.
wanst_alva_doorinitiative_negative_3_1,Honor builds my strength. #1.80 Not elixirs!,Honor buduje moją siłę. #1.80 Nie eliksiry!
wanst_alva_doorinitiative_negative_4_1,Potions can't match the fire within my soul!,Żadna mikstura nie dorówna ogniowi w mojej duszy!
wanst_alva_doorinitiative_neutral_1_1,Hmmm. #1.00 I don't mind.,Hmmm. #1.00 Nie mam nic przeciwko.
wanst_alva_doorinitiative_neutral_1_2,Ookayyy. #1.90 Maybe later.,No dobrzeee. #1.90 Może później.
wanst_alva_doorinitiative_neutral_2_2,Then not.,To nie.
wanst_alva_doorinitiative_neutral_3_1,Hngggyaawulaahhh!?,Hngggyaawulaahhh!?
wanst_alva_doorinitiative_neutral_3_2,"Ok, I'll save it for later.","Ok, zachowam to na później."
